id,code_type,code_name,code_mention,target_concept,event_id,publisher_id,paragraph,sentence,start,end,orientation
3_LL_0000,EVENT,USA election 2016,2016 election,,3,LL,0,0,10,11,LL
3_LL_0001,GROUP,USA\Democrats,Democrats,,3,LL,0,0,0,0,LL
3_LL_0002,COUNTRY,RUS,Russia,,3,LL,0,0,2,2,LL
3_LL_0003,ACTOR,USA\Republicans\Trump,Trump,,3,LL,0,0,4,4,LL
3_LL_0004,EVENT,Trump campaign,Trump campaign,,3,LL,0,0,4,5,LL
3_LL_0005,PROPERTY,Other,alleging,Democrats,3,LL,0,0,7,7,LL
3_LL_0006,MISC,RUS interference into USA election,conspiracy,,3,LL,0,0,8,8,LL
3_LL_0007,PROPERTY,Power,sue,Democrats,3,LL,0,0,1,1,LL
3_LL_0008,ACTOR,USA\Democrats\Clinton,Hillary Clinton,,3,LL,1,1,15,16,LL
3_LL_0009,COUNTRY,RUS,Russia,,3,LL,1,1,12,12,LL
3_LL_0010,GROUP,USA\Democrats,The party,,3,LL,1,1,0,1,LL
3_LL_0011,ACTOR,USA\Republicans\Trump,Trump,,3,LL,1,1,7,7,LL
3_LL_0012,EVENT,Trump campaign,Trump's campaign,,3,LL,1,1,7,9,LL
3_LL_0013,PROPERTY,Other,alleged,Democrats,3,LL,1,1,2,2,LL
3_LL_0014,MISC,RUS interference into USA election,conspired with Russia,,3,LL,1,1,10,12,LL
3_LL_0015,PROPERTY,Aggressor,hurt,USA; RUS,3,LL,1,1,14,14,LL
3_LL_0016,PROPERTY,Victim,hurt,Clinton,3,LL,1,1,14,14,LL
3_LL_0017,GROUP,USA\Republicans,top officials in Trump's campaign,,3,LL,1,1,4,9,LL
3_LL_0018,EVENT,USA election 2016,2016 U.S. presidential election,,3,LL,2,2,35,38,LL
3_LL_0019,COUNTRY,RUS,Russian government,,3,LL,2,2,10,11,LL
3_LL_0020,GROUP,USA\Democrats,The Democratic Party,,3,LL,2,2,5,7,LL
3_LL_0021,EVENT,Trump campaign,Trump's campaign,,3,LL,2,2,16,18,LL
3_LL_0022,ACTOR,USA\Republicans\Trump,U.S. President Donald Trump,,3,LL,2,2,13,16,LL
3_LL_0023,GROUP,Wikileaks,WikiLeaks,,3,LL,2,2,20,20,LL
3_LL_0024,PROPERTY,Power,charging,Democrats,3,LL,2,2,24,24,LL
3_LL_0025,PROPERTY,Power,sued,Democrats,3,LL,2,2,8,8,LL
3_LL_0026,PROPERTY,Importance,wide-ranging,RUS interference into USA election,3,LL,2,2,30,30,LL
3_LL_0027,MISC,RUS interference into USA election,wide-ranging conspiracy,,3,LL,2,2,30,31,LL
3_LL_0028,GROUP,USA\Democrats,Democratic National Committee,,3,LL,3,3,8,10,LL
3_LL_0029,ACTOR,USA\Democrats\Clinton,Democratic presidential nominee Hillary Clinton,,3,LL,3,3,31,35,LL
3_LL_0030,COUNTRY,RUS,Russian government,,3,LL,3,3,22,23,LL
3_LL_0031,ACTOR,USA\Republicans\Trump,Trump,,3,LL,3,3,16,16,LL
3_LL_0032,ACTOR,USA\Republicans\Trump,Trump,,3,LL,3,3,41,41,LL
3_LL_0033,EVENT,Trump campaign,Trump's campaign,,3,LL,3,3,16,18,LL
3_LL_0034,MISC,RUS interference into USA election,conspired with the Russian government,,3,LL,3,3,19,23,LL
3_LL_0035,MISC,Lawsuit,federal lawsuit,,3,LL,3,3,2,3,LL
3_LL_0036,MISC,RUS interference into USA election,hacking Democratic Party computers,,3,LL,3,3,43,46,LL
3_LL_0037,PROPERTY,Aggressor,hurt,USA; RUS,3,LL,3,3,30,30,LL
3_LL_0038,PROPERTY,Victim,hurt,Clinton,3,LL,3,3,30,30,LL
3_LL_0039,COUNTRY,RUS,military spy agency,,3,LL,3,3,26,28,LL
3_LL_0040,EVENT,USA election 2016,the election,,3,LL,3,3,38,39,LL
