id,code_type,code_name,code_mention,target_concept,event_id,publisher_id,paragraph,sentence,start,end,orientation
1_R_0000,PROPERTY,Lawfulness,"'clearly' show no obstruction, collusion",Trump,1,R,0,0,5,12,R
1_R_0001,ACTOR,USA\Comey,Comey,,1,R,0,0,3,3,R
1_R_0002,OBJECT,Comey Memos,Comey memos,,1,R,0,0,3,4,R
1_R_0003,ACTOR,USA\Trump,Trump,,1,R,0,0,0,0,R
1_R_0004,EVENT,RUS interference,"no obstruction, collusion",,1,R,0,0,9,12,R
1_R_0005,ACTOR,USA\Comey,Comey,,1,R,1,1,0,0,R
1_R_0006,COUNTRY,USA,FBI,,1,R,1,1,2,2,R
1_R_0007,PROPERTY,Other,claims,Comey,1,R,1,1,1,1,R
1_R_0008,OBJECT,Comey Memos,redacted memos,,1,R,1,1,7,8,R
1_R_0009,PROPERTY,Lawfulness,"""show clearly"" no collusion with Russia",Trump,1,R,2,2,17,24,R
1_R_0010,ACTOR,USA\Trump,President Trump,,1,R,2,2,0,1,R
1_R_0011,COUNTRY,RUS,Russia,,1,R,2,2,24,24,R
1_R_0012,ACTOR,USA\Comey,former FBI Director James Comey,,1,R,2,2,12,16,R
1_R_0013,EVENT,RUS interference,no collusion with Russia in 2016,,1,R,2,2,21,26,R
1_R_0014,PROPERTY,Lawfulness,no obstruction,Trump,1,R,2,2,28,29,R
1_R_0015,EVENT,Comey Memos\Russian Investigation,the investigation,,1,R,2,2,31,32,R
1_R_0016,OBJECT,Comey Memos,the newly released memos,,1,R,2,2,6,9,R
1_R_0017,ACTOR,USA\Comey,Comey,,1,R,3,3,7,7,R
1_R_0018,ACTOR-I,USA\USA-Misc,Democrats,,1,R,3,4,1,1,R
1_R_0019,COUNTRY,USA,FBI,,1,R,3,3,18,18,R
1_R_0020,COUNTRY,USA,FBI,,1,R,3,4,10,10,R
1_R_0021,COUNTRY,USA,GOP lawmakers,,1,R,3,3,24,25,R
1_R_0022,OBJECT,Comey Memos,The memos,,1,R,3,3,0,1,R
1_R_0023,ACTOR,USA\Trump,Trump,,1,R,3,3,12,12,R
1_R_0024,ACTOR,USA\Trump,Trump,,1,R,3,4,4,4,R
1_R_0025,PROPERTY,Other,alleged collusion,Trump,1,R,3,4,14,15,R
1_R_0026,EVENT,RUS interference,alleged collusion leading up to the 2016 election,,1,R,3,4,14,21,R
1_R_0027,PROPERTY,Other,claim,USA-Misc,1,R,3,4,2,2,R
1_R_0028,MISC,Comey Memos\Interactions with Trump,his interaction with Trump,,1,R,3,3,9,12,R
1_R_0029,PROPERTY,Safety,never felt obstructed,Comey,1,R,3,3,20,22,R
1_R_0030,EVENT,Comey Memos\Russian Investigation,the FBI's investigation into alleged collusion,,1,R,3,4,9,15,R
1_R_0031,ACTOR,USA\Comey,the fired FBI director,,1,R,3,3,16,19,R
1_R_0032,PROPERTY,No trustworthiness,tried to hold up the FBI's investigation,Trump,1,R,3,4,5,12,R
1_R_0033,ACTOR,USA\Comey,James Comey,,1,R,4,5,1,2,R
1_R_0034,OBJECT,Comey Memos,James Comey Memos,,1,R,4,5,1,3,R
1_R_0035,PROPERTY,Lawfulness,NO COLLUSION,Trump,1,R,4,5,11,12,R
1_R_0036,EVENT,RUS interference,NO COLLUSION,,1,R,4,5,11,12,R
1_R_0037,PROPERTY,Lawfulness,NO OBSTRUCTION,Trump,1,R,4,5,14,15,R
1_R_0038,ACTOR,USA\Trump,Trump,,1,R,4,9,0,0,R
